speaker	text	url	time	seconds_in	seconds_spoken	words_per_min	num_words
President Donald J. Trump 	Well, we’re going to deliver it right away. We have the military all set up. Logistically, they’re all set up. We have our military that delivers soldiers and they can do 200,000 a day. They’re going to be delivering-	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=60.83#	1:00	1525	11	212.727272727273	39
Vice President Joe Biden 	This is the same man who told you-	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=71.37#	1:11	1536	2	240	8
President Donald J. Trump 	It’s all set up.	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=73.02#	1:13	1538	1	240	4
Vice President Joe Biden 	… by Easter, this would be gone away. By the warm weather, it’d be gone. Miraculous, like a miracle. And by the way, maybe you could inject some bleach in your arm, and that would take care of it. This is the same man.	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=74.46#	1:14	1539	10		44
President Donald J. Trump 	That was said sarcastically, and you know that. That was said sarcastically.	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=84.51#	1:24	1549	4	180	12
Vice President Joe Biden 	So here’s the deal. This man is talking about a vaccine. Every serious company is talking about maybe having a vaccine done by the end of the year, but the distribution of that vaccine will not occur until sometime beginning of the middle of next year to get it out, if we get the vaccine. And pray God we will. Pray God we will.	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=88.17#	1:28	1553	21	182.857142857143	64
Chris Wallace 	Mr. Vice President, I want to pick up-	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=109.2#	1:49	1574	1		8
President Donald J. Trump 	You’ll have the vaccine sooner than that.	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=110.48#	1:50	1575	1		7
Chris Wallace 	I want to pick up on this question though. You say the public can trust the scientists, but they can’t trust President Trump. In fact, you said that again tonight. Your running mate, Senator Harris, goes further, saying that public health experts quote, “Will be muzzled, will be suppressed.” Given the fact that polls already show that people are concerned about the vaccine and are reluctant to take it, are you and your running mate, Senator Harris, contributing to that fear?	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=111.88#	1:51	1576	27	180	81
Vice President Joe Biden 	No more than the question you just asked him. You pointed out he puts pressure and disagrees with his own scientists.	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=138.42#	2:18	1603	7	180	21
Chris Wallace 	But you’re saying you can’t-	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=145.6#	2:25	1610	1		5
Vice President Joe Biden 	Everybody knows-	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=146.25#	2:26	1611	0		2
Chris Wallace 	Or Senator Harris is saying you can’t trust the scientist.	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=146.37#	2:26	1611	2		10
Vice President Joe Biden 	Well, no, no. You can trust the scientist. She didn’t say that. You can trust the-	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=148.96#	2:28	1613	4	240	16
Chris Wallace 	She said that public health experts quote, “Will be muzzled, will be suppressed.”	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=152.64#	2:32	1617	4	195	13
Vice President Joe Biden 	Yes. Well, that’s what he’s going to try to do, but there’s thousands of scientists out there, like here at this great hospital that don’t work for him. Their job doesn’t depend on him. They’re the people… And by the way-	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=156.93#	2:36	1621	15	164	41
President Donald J. Trump 	We spoke to the scientists that are in charge-	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=171.35#	2:51	1636	2		9
Vice President Joe Biden 	By the way-	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=173.12#	2:53	1638	0		3
President Donald J. Trump 	… they will have the vaccine very soon.	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=173.4#	2:53	1638	2	240	8
Chris Wallace 	Let him finish.	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=175.4#	2:55	1640	0		3
Vice President Joe Biden 	Do you believe for a moment what he’s telling you in light of all the lies he’s told you about the whole issue relating to COVID? He still hasn’t even acknowledged that he knew this was happening, knew how dangerous it was going to be back in February, and he didn’t even tell you. He’s on record as saying it. He panicked or he just looked at the stock market. One of the two. Because guess what? A lot of people died and a lot more are going to die unless he gets a lot smarter, a lot quicker-	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=175.87#	2:55	1640	32	185.625	99
Chris Wallace 	Mr. President?	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=207.86#	3:27	1672	1	120	2
President Donald J. Trump 	Did you use the word smart? So you said you went to Delaware State, but you forgot the name of your college. You didn’t go to Delaware State. You graduated either the lowest or almost the lowest in your class. Don’t ever use the word smart with me. Don’t ever use that word.	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=208.75#	3:28	1673	16	198.75	53
Vice President Joe Biden 	Oh, give me a break.	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=224.26#	3:44	1689	0		5
President Donald J. Trump 	Because you know what? There’s nothing smart about you, Joe. 47 years you’ve done nothing.	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=224.88#	3:44	1689	5	180	15
Vice President Joe Biden 	Well, let’s have this debate-	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=229.08#	3:49	1694	2	150	5
President Donald J. Trump 	Let me just tell you something, Joe. If you would have had the charge of what I was put through, I had to close the greatest economy of the history of our country. And by the way, now it’s being built again and it’s going up fast.	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=231.35#	3:51	1696	11	256.363636363636	47
Chris Wallace 	We’ll get to the economy in the next segment, sir.	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=242.82#	4:02	1707	2		10
President Donald J. Trump 	Okay. It’s going up fast. I look forward to talking about it.	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=244.12#	4:04	1709	2		12
Chris Wallace 	Okay. When it comes to how the virus has been handled so far, the two of you have taken very different approaches, and this is going to affect how the virus is handled going forward by whichever of you ends up becoming the next president. I want to quickly go through several of those. Reopenings. Vice President Biden, you have been much more reluctant than President Trump about reopening the economy and schools. Why, sir?	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=246#	4:06	1711	25	180	75
Vice President Joe Biden 	Because he doesn’t have a plan. If I were running it, I’d know what the plan is. You’ve got to provide these businesses the ability to have the money to be able to reopen with the PPE, as well as with the sanitation they need. You have to provide them classic-	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=271.94#	4:31	1736	14	218.571428571429	51
President Donald J. Trump 	Tell that to Nancy Pelosi.	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=285.52#	4:45	1750	2	150	5
Vice President Joe Biden 	Will he just shush for a minute?	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=287.87#	4:47	1752	2	210	7
President Donald J. Trump 	Tell that to Nancy Pelosi, and Schumer [crosstalk 00:04:52] Chuck.	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=289.74#	4:49	1754	3	200	10
Vice President Joe Biden 	Nancy Pelosi and Schumer, they have a plan. He won’t even meet with them. The Republicans won’t meet in the Senate. He sits in his golf course. Well, I mean, literally, think about it. Think about it.	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=292.81#	4:52	1757	12	185	37
President Donald J. Trump 	You probably play more than I do, Joe.	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=304.13#	5:04	1769	2	240	8
Chris Wallace 	What about this question of reopenings and the fact-	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=306.61#	5:06	1771	2		9
President Donald J. Trump 	Well, he wants to shut down this country and I want to keep it open, and we did a great thing by shutting it down-	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=308.67#	5:08	1773	7	214.285714285714	25
Vice President Joe Biden 	You just admitted you’d shut it down.	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=315.38#	5:15	1780	0		7
President Donald J. Trump 	Wait a minute, Joe. Let me shut you down for a second, Joe, just for one second. He wants to shut down the country. We just went through it. We had to, because we didn’t know anything about the disease. Now we’ve found that elderly people with heart problems and diabetes and different problems are very, very vulnerable. We learned a lot. Young children aren’t, even younger people aren’t. We’ve learned a lot, but he wants to shut it down. More people will be hurt by continuing. If you look at Pennsylvania, if you look at certain states that have been shut down, they have Democrat governors, all, one of the reasons they shut down is because they want to keep it shut down until after the election on November 3rd.	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=315.88#	5:15	1780	39	201.538461538461	131
Chris Wallace 	All right. I want to move onto another-	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=354.61#	5:54	1819	1		8
President Donald J. Trump 	Because it’s a political thing.	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=355.58#	5:55	1820	0		5
Chris Wallace 	I want to move onto another subject.	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=355.58#	5:55	1820	0		7
Vice President Joe Biden 	I got to respond to that.	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=355.58#	5:55	1820	0		6
Chris Wallace 	I want to move-	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=355.61#	5:55	1820	2	120	4
President Donald J. Trump 	But those states-	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=357.45#	5:57	1822	1	180	3
Chris Wallace 	Gentlemen, I want to move onto another subject.	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=358.24#	5:58	1823	2	240	8
President Donald J. Trump 	Those states are not doing well that are shut down right now.	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=360.2#	6:00	1825	2		12
Vice President Joe Biden 	I got to respond to that.	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=362.34#	6:02	1827	2	180	6
President Donald J. Trump 	He wants to shut down the whole country.	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=364.08#	6:04	1829	0		8
Chris Wallace 	President Trump, you have begun to increasingly question the effectiveness of masks as a disease preventer. And in fact, recently you have cited the issue of waiters touching their masks and touching plates. Are you questioning the efficacy of masks?	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=364.1#	6:04	1829	16	150	40
President Donald J. Trump 	No, I think masks are okay. You have to understand, if you look… I mean, I have a mask right here. I put a mask on when I think I need it. Tonight, as an example, everybody’s had a test and you’ve had social distancing and all of the things that you have to, but I wear masks-	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=380.23#	6:20	1845	13		58
Vice President Joe Biden 	Just like your rally.	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=393.09#	6:33	1858	0		4
President Donald J. Trump 	… when needed. When needed, I wear masks.	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=393.4#	6:33	1858	2	240	8
Chris Wallace 	Okay. Let me ask-	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=395.55#	6:35	1860	1	240	4
President Donald J. Trump 	I don’t wear a mask like him. Every time you see him, he’s got a mask. He could be speaking 200 feet away from him and he shows up with the biggest mask I’ve ever seen. I will say this-	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=396.8#	6:36	1861	9		40
Chris Wallace 	Vice President Biden, go ahead, sir.	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=405.62#	6:45	1870	3	120	6
Vice President Joe Biden 	Look, the way to open businesses is give them the wherewithal to be able open. We provided money, the-	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=408.26#	6:48	1873	7	162.857142857143	19
Chris Wallace 	But I was asking you, sir, about masks.	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=415.05#	6:55	1880	1		8
Vice President Joe Biden 	Well, masks make a big difference. His own head of the CDC said if we just wore masks between now, if everybody wore a mask and social distanced between now and January, we’d probably save up to 100,000 lives. It matters. It matters.	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=416.77#	6:56	1881	14	184.285714285714	43
President Donald J. Trump 	And they’ve also said the opposite. They’ve also said-	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=430.15#	7:10	1895	2		9
Vice President Joe Biden 	No serious person has said the opposite. No serious person.	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=432.89#	7:12	1897	2		10
Chris Wallace 	Okay. I want to ask you-	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=434.83#	7:14	1899	3	120	6
President Donald J. Trump 	Dr. Fauci. Dr. Fauci said the opposite.	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=437.55#	7:17	1902	1		7
Vice President Joe Biden 	He did not say the opposite.	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=438.76#	7:18	1903	1		6
Chris Wallace 	I want to ask you, we’ve got a little than a minute left in this segment.	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=439.17#	7:19	1904	3		16
President Donald J. Trump 	He said very strongly, “Masks are not good.” Then he changed his mind. He said, “Masks are good.”	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=442.16#	7:22	1907	3		18
Chris Wallace 	I want to ask-	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=445.11#	7:25	1910	0		4
President Donald J. Trump 	I’m okay with masks. I’m not fighting masks.	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=445.64#	7:25	1910	2	240	8
Chris Wallace 	I want to ask you both about one last subject because your different approaches has even affected the way that you have campaigned. President Trump, you’re holding large rallies with crowds packed together, thousands of people.	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=447.16#	7:27	1912	11	196.363636363636	36
President Donald J. Trump 	Outside.	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=458.31#	7:38	1923	1		1
Chris Wallace 	Outside. Yes, sir. Agreed. Vice President Biden, you are holding much smaller events with-	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=459.47#	7:39	1924	7	120	14
President Donald J. Trump 	Because nobody will show up.	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=466.06#	7:46	1931	1		5
Chris Wallace 	… people with masks.	https://www.rev.com/transcript-editor/shared/Q9Rg-GXXv0j4Lr42SWtShbjYi7XYyidz4UdyhtdMObqUKk7CEp-FSLuVlp1gdJztrCO_rqrjyqj0INo3riGtB9X5rpo?loadFrom=PastedDeeplink&ts=467.31#	7:47	1932	0		4
